TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


14:47:02.406 "" SYSTEM_INFO START_LOGGING - - - "-"
14:47:14.125 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
14:48:15.671 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:48:15.671 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
14:48:16.500 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_t 5.0.6 536.546 QwertyTeste ""
14:48:16.500 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste ""
14:48:16.500 "T" CHAR_T CHAR  -  - QwertyTeste ""
14:48:18.671 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "T"
14:48:18.671 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "T"
14:48:23.953 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "T"
14:48:23.953 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "T"
14:48:23.953 "e" CHAR_e CHAR  -  - QwertyTeste "T"
14:48:27.625 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_5_tendo 1.0.2 405.204 QwertyTeste "Te"
14:48:27.625 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "Te"
14:48:27.625 "n" CHAR_n CHAR  -  - QwertyTeste "Te"
14:48:27.625 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "Ten"
14:48:27.625 "d" CHAR_d CHAR  -  - QwertyTeste "Ten"
14:48:27.640 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Tend"
14:48:27.640 "o" CHAR_o CHAR  -  - QwertyTeste "Tend"
14:48:27.640 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo"
14:48:27.640 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo"
14:48:27.640 "" NEW_WORD WORD_Tendo  -  - QwertyTeste "Tendo "
14:48:32.390 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_0_eu 0.0.1 174.157 QwertyTeste "Tendo "
14:48:32.390 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo "
14:48:32.390 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo "
14:48:32.390 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "Tendo e"
14:48:32.390 "u" CHAR_u CHAR  -  - QwertyTeste "Tendo e"
14:48:32.390 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu"
14:48:32.390 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu"
14:48:32.390 "" NEW_WORD WORD_eu  -  - QwertyTeste "Tendo eu "
14:48:39.109 "" LEFT_MOUSE_DOWN_KEY PREDICTED_SENTENCE_SELECTION_0_Tendo_eu_repetido_na_primária_2_anos. 2.0.1 290.290 QwertyTeste "Tendo eu "
14:48:39.265 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "Tendo eu "
14:48:39.265 "r" CHAR_r CHAR  -  - QwertyTeste "Tendo eu "
14:48:39.265 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo eu r"
14:48:39.265 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo eu r"
14:48:39.265 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "Tendo eu re"
14:48:39.265 "p" CHAR_p CHAR  -  - QwertyTeste "Tendo eu re"
14:48:39.265 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo eu rep"
14:48:39.265 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo eu rep"
14:48:39.265 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste "Tendo eu repe"
14:48:39.265 "t" CHAR_t CHAR  -  - QwertyTeste "Tendo eu repe"
14:48:39.265 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "Tendo eu repet"
14:48:39.265 "i" CHAR_i CHAR  -  - QwertyTeste "Tendo eu repet"
14:48:39.265 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "Tendo eu repeti"
14:48:39.265 "d" CHAR_d CHAR  -  - QwertyTeste "Tendo eu repeti"
14:48:39.265 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Tendo eu repetid"
14:48:39.265 "o" CHAR_o CHAR  -  - QwertyTeste "Tendo eu repetid"
14:48:39.265 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu repetido"
14:48:39.265 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu repetido"
14:48:39.265 "" NEW_WORD WORD_repetido  -  - QwertyTeste "Tendo eu repetido "
14:48:39.265 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "Tendo eu repetido "
14:48:39.265 "n" CHAR_n CHAR  -  - QwertyTeste "Tendo eu repetido "
14:48:39.265 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Tendo eu repetido n"
14:48:39.265 "a" CHAR_a CHAR  -  - QwertyTeste "Tendo eu repetido n"
14:48:39.265 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na"
14:48:39.265 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu repetido na"
