TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


16:28:08.359 "" SYSTEM_INFO START_LOGGING - - - "-"
16:28:11.250 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
16:28:17.093 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
16:28:17.093 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
16:28:17.718 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste ""
16:28:17.750 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
16:28:17.750 "N" CHAR_N CHAR  -  - QwertyTeste ""
16:28:19.343 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "N"
16:28:19.343 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
16:28:20.953 "" LEFT_MOUSE_DOWN_KEY PREDICTED_SENTENCE_SELECTION_3_No_osso. 3.0.2 752.414 QwertyTeste "N"
16:28:20.968 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
16:28:20.968 "o" CHAR_o CHAR  -  - QwertyTeste "N"
16:28:20.968 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
16:28:20.968 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
16:28:20.968 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
16:28:20.968 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
16:28:20.968 "o" CHAR_o CHAR  -  - QwertyTeste "No "
16:28:20.968 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
16:28:20.968 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
16:28:20.968 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No os"
16:28:20.968 "s" CHAR_s CHAR  -  - QwertyTeste "No os"
16:28:20.968 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No oss"
16:28:20.968 "o" CHAR_o CHAR  -  - QwertyTeste "No oss"
16:28:20.968 "" KEY_DOWN_. AUTO_KEY  -  - QwertyTeste "No osso"
16:28:20.968 "." CHAR_. CHAR  -  - QwertyTeste "No osso"
16:28:20.968 "" NEW_WORD WORD_osso  -  - QwertyTeste "No osso."
16:28:20.968 "" NEW_SENTENCE SENTENCE_No_osso.  -  - QwertyTeste "No osso."
16:28:20.968 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No osso."
16:28:20.968 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No osso."
16:28:24.781 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Enter 5.0.1 110.546 QwertyTeste ""
16:28:24.781 "" KEY_DOWN_ENTER AUTO_KEY  -  - QwertyTeste ""
16:28:24.781 "\n" CHAR_ENTER CHAR  -  - QwertyTeste ""
16:28:26.812 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
16:28:26.812 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
16:28:27.609 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_h 6.0.7 614.593 QwertyTeste ""
16:28:27.734 "" KEY_DOWN_H AUTO_KEY  -  - QwertyTeste ""
16:28:27.734 "H" CHAR_H CHAR  -  - QwertyTeste ""
16:28:32.484 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "H"
16:28:32.484 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "H"
16:28:32.968 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "H"
16:28:32.968 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "H"
16:28:32.968 "o" CHAR_o CHAR  -  - QwertyTeste "H"
16:28:35.218 "" LEFT_MOUSE_DOWN_KEY PREDICTED_SENTENCE_SELECTION_1_Hoje_ou_amanhã. 2.0.2 752.290 QwertyTeste "Ho"
16:28:35.484 "" KEY_DOWN_J AUTO_KEY  -  - QwertyTeste "Ho"
16:28:35.484 "j" CHAR_j CHAR  -  - QwertyTeste "Ho"
16:28:35.484 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Hoj"
16:28:35.484 "e" CHAR_e CHAR  -  - QwertyTeste "Hoj"
16:28:35.484 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Hoje"
16:28:35.484 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Hoje"
16:28:35.484 "" NEW_WORD WORD_Hoje  -  - QwertyTeste "Hoje "
16:28:35.484 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Hoje "
