TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


19:44:48.468 "" SYSTEM_INFO START_LOGGING - - - "-"
19:44:51.703 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
19:44:52.515 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
19:44:56.687 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
19:44:56.687 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
19:44:57.734 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste ""
19:44:57.734 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste ""
19:44:57.734 "A" CHAR_A CHAR  -  - QwertyTeste ""
19:44:58.640 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "A"
19:44:58.640 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "A"
19:44:59.343 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A"
19:44:59.343 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A"
19:44:59.343 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A"
19:44:59.343 "" NEW_WORD WORD_A  -  - QwertyTeste "A "
19:45:01.250 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A "
19:45:01.250 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A "
19:45:01.250 "m" CHAR_m CHAR  -  - QwertyTeste "A "
19:45:02.187 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A m"
19:45:02.187 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A m"
19:45:02.187 "i" CHAR_i CHAR  -  - QwertyTeste "A m"
19:45:02.890 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste "A mi"
19:45:02.890 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "A mi"
19:45:02.890 "n" CHAR_n CHAR  -  - QwertyTeste "A mi"
19:45:03.234 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_h 6.0.7 614.593 QwertyTeste "A min"
19:45:03.359 "" KEY_DOWN_H AUTO_KEY  -  - QwertyTeste "A min"
19:45:03.359 "h" CHAR_h CHAR  -  - QwertyTeste "A min"
19:45:04.062 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minh"
19:45:04.250 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minh"
19:45:04.265 "a" CHAR_a CHAR  -  - QwertyTeste "A minh"
19:45:05.015 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha"
19:45:05.015 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha"
19:45:05.015 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha"
19:45:05.015 "" NEW_WORD WORD_minha  -  - QwertyTeste "A minha "
19:45:06.468 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A minha "
19:45:06.609 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A minha "
19:45:06.609 "m" CHAR_m CHAR  -  - QwertyTeste "A minha "
19:45:08.500 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_~ 8.0.9 557.687 QwertyTeste "A minha m"
19:45:08.500 "" KEY_DOWN_TIL AUTO_KEY  -  - QwertyTeste "A minha m"
19:45:09.312 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minha m"
19:45:09.437 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minha m"
19:45:09.437 "ã" CHAR_ã CHAR  -  - QwertyTeste "A minha m"
19:45:10.234 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "A minha mã"
19:45:10.343 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "A minha mã"
19:45:10.343 "e" CHAR_e CHAR  -  - QwertyTeste "A minha mã"
19:45:12.296 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe"
19:45:12.437 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe"
19:45:12.437 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe"
19:45:12.437 "" NEW_WORD WORD_mãe  -  - QwertyTeste "A minha mãe "
19:45:13.390 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_p 5.0.11 942.546 QwertyTeste "A minha mãe "
19:45:13.390 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "A minha mãe "
19:45:13.390 "p" CHAR_p CHAR  -  - QwertyTeste "A minha mãe "
19:45:13.765 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "A minha mãe p"
19:45:13.828 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "A minha mãe p"
19:45:13.828 "o" CHAR_o CHAR  -  - QwertyTeste "A minha mãe p"
19:45:14.625 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_d 6.0.4 368.593 QwertyTeste "A minha mãe po"
19:45:14.765 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "A minha mãe po"
19:45:14.765 "d" CHAR_d CHAR  -  - QwertyTeste "A minha mãe po"
19:45:15.218 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "A minha mãe pod"
19:45:15.234 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "A minha mãe pod"
19:45:15.234 "e" CHAR_e CHAR  -  - QwertyTeste "A minha mãe pod"
19:45:16.828 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode"
19:45:16.828 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode"
19:45:16.828 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode"
19:45:16.828 "" NEW_WORD WORD_pode  -  - QwertyTeste "A minha mãe pode "
19:45:17.718 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A minha mãe pode "
19:45:17.796 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A minha mãe pode "
19:45:17.796 "i" CHAR_i CHAR  -  - QwertyTeste "A minha mãe pode "
19:45:18.500 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_r 5.0.5 454.546 QwertyTeste "A minha mãe pode i"
19:45:18.500 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "A minha mãe pode i"
19:45:18.500 "r" CHAR_r CHAR  -  - QwertyTeste "A minha mãe pode i"
19:45:20.093 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir"
19:45:20.093 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir"
19:45:20.093 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir"
19:45:20.093 "" NEW_WORD WORD_ir  -  - QwertyTeste "A minha mãe pode ir "
19:45:21.500 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_u 5.0.8 700.546 QwertyTeste "A minha mãe pode ir "
19:45:21.500 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir "
19:45:21.500 "u" CHAR_u CHAR  -  - QwertyTeste "A minha mãe pode ir "
19:45:22.171 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A minha mãe pode ir u"
19:45:22.171 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir u"
19:45:22.171 "m" CHAR_m CHAR  -  - QwertyTeste "A minha mãe pode ir u"
19:45:23.343 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minha mãe pode ir um"
19:45:23.343 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir um"
19:45:23.343 "a" CHAR_a CHAR  -  - QwertyTeste "A minha mãe pode ir um"
19:45:24.046 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma"
19:45:24.046 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma"
19:45:24.046 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma"
19:45:24.046 "" NEW_WORD WORD_uma  -  - QwertyTeste "A minha mãe pode ir uma "
19:45:24.703 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "A minha mãe pode ir uma "
19:45:24.765 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma "
19:45:24.765 "o" CHAR_o CHAR  -  - QwertyTeste "A minha mãe pode ir uma "
19:45:25.234 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_u 5.0.8 700.546 QwertyTeste "A minha mãe pode ir uma o"
19:45:25.234 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma o"
19:45:25.234 "u" CHAR_u CHAR  -  - QwertyTeste "A minha mãe pode ir uma o"
19:45:26.015 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma ou"
19:45:26.171 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou"
19:45:26.171 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou"
19:45:26.171 "" NEW_WORD WORD_ou  -  - QwertyTeste "A minha mãe pode ir uma ou "
19:45:26.531 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_2 4.0.3 286.499 QwertyTeste "A minha mãe pode ir uma ou "
19:45:26.640 "" KEY_DOWN_2 AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou "
19:45:26.640 "2" CHAR_2 CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou "
19:45:27.078 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma ou 2"
19:45:27.125 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou 2"
19:45:27.125 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou 2"
19:45:27.125 "" NEW_WORD WORD_2  -  - QwertyTeste "A minha mãe pode ir uma ou 2 "
19:45:29.171 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_v 7.0.5 454.640 QwertyTeste "A minha mãe pode ir uma ou 2 "
19:45:29.187 "" KEY_DOWN_V AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou 2 "
19:45:29.187 "v" CHAR_v CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou 2 "
19:45:29.703 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "A minha mãe pode ir uma ou 2 v"
19:45:29.703 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou 2 v"
